#,N*,Name,Bayer,Flam,Gould,Var,GJ,LHS,PLX,HIP,Giclas,DM,HD,HR,RA (2000.0),dec (2000.0),Parallax,Plx Err,Parsecs,APM,Pos A,MURAT,MUDEC,U,B,V,R,I,J,H,K,M,RV,Spec,Notes,NS
1460,N13 Ser,,,,,,3913,3091,3522.01,,167-051,,,,15 35 41.1,+22 08 53.0,0.0538,0.0035,18.59,0.743,261,,,,14.23,12.73,11.6,10.11,8.68,8.11,7.92,11.38,,,,1535+2208
1461,N15 Cyg,,The,13,,,765 A,,4611.00 A,96441,,BD+49 3062,185395,7469,19 36 26.5,+50 13 16.0,0.0538,0.00047,18.59,0.263,358.2,-0.0008,0.26298,,,,,,,,,,,,,1936+5013 A
1462,N15 Cyg B,,,,,,765 B,,,,,,,,19 36 26.5,+50 13 16.0,0.0538,0.00047,18.59,0.263,358.2,-0.0008,0.26298,,,,,,,,,,,,,1936+5013 B
1463,N33 Hya,,,,,,339 A,,2200.10 A,45383,,BD+05 2143,79555,,09 14 53.7,+04 26 34.4,0.05378,0.00111,18.59,0.108,272.1,-0.0072,0.00404,,,7.93 J,7.32 J,6.75 J,,,,6.58,,K4 V,,0914+0426 A
1464,N33 Hya B,,,,,,339 B,,,,,,,,09 14 53.7,+04 26 34.4,0.05378,0.00111,18.59,0.108,272.1,-0.0072,0.00404,,,,,,,,,,,,,0914+0426 B
1465,N9 Crt,,,,,,,,,54373,,BD-18 3106,,,11 07 27.7,-19 17 29.4,0.05375,0.00194,18.6,0.237,258.8,-0.0165,-0.04602,,10.5,10.1,,,7.449,6.853,6.62,8.75,,,,1107-1917
1466,N37 Dra,,,,,,1225,460,4226.01,,260-001,,,,18 17 05.2,+68 31 23.6,0.0537,0.0033,18.62,1.74,204,,,,17.26,15.39,14.06,12.35,10.78,10.28,10.04,14.04,,,,1817+6831
1467,N12 Lyn,,,,,,308 A,247,2010.10 A,41554,115-003,,,,08 28 22.1,+35 00 59.2,0.05365,0.00518,18.64,1.066,252,-0.0826,-0.32895,,12.28,10.73,9.79,8.79,,,,9.38,,,,0828+3500 A
1468,N12 Lyn B,,,,,,308 B,,2010.10 B,,,,,,08 28 22.1,+35 00 59.2,0.05365,0.00518,18.64,1.066,252,-0.0826,-0.32895,,,,,,,,,,,,,0828+3500 B
1469,N6 CrB,,Eta,2,,,584 A,,3479.00 A,75312,,BD+30 2653,137107,5727,15 23 12.3,+30 17 16.2,0.05365,0.00089,18.64,0.217,144.5,0.0097,-0.17648,,,,,,,,,,,G2 V,,1523+3017 A
1470,N6 CrB B,,,,,,584 B,,3479.00 B,,,,137108,5728,15 23 12.3,+30 17 16.2,0.05365,0.00089,18.64,0.217,144.5,0.0097,-0.17648,,,,,,,,,,,G2 V,,1523+3017 B
1471,N36 Boo,,,,,,541.2,,,69824,,BD+46 1951,,,14 17 24.4,+45 26 40.2,0.05364,0.00133,18.64,0.048,108.9,0.0043,-0.01559,,11.8,10.25,,,7.389,6.781,6.601,8.89,,,,1417+4526
1472,N49 UMa,,,,,,,,2555.01,53637,,,,,10 58 25.0,+48 17 09.2,0.0536,0.012,18.66,0.108,144,,,,11.4,10.6,,,,,,9.24,,,,1058+4817
1473,N27 Cen,Menkent,The,5,314 G.,,539,2858,3206,68933,,CD-35 9260,123139,5288,14 06 40.9,-36 22 11.8,0.05355,0.00079,18.67,0.733,225.1,-0.043,-0.51787,,3.07,2.07,1.54,1.07,0.403,-0.199,-0.274,0.71,1.3,,,1406-3622
1474,N15 Sco,,,,,,,,,82834,,CD-31 13358,152606,,16 55 38.0,-32 04 03.7,0.05354,0.00169,18.68,0.342,163.8,0.0075,-0.32876,,10.96,9.58,,,6.917,6.251,6.05,8.22,,K4/5 V,,1655-3204
1475,N20 And,,,,,,1003,103,9.11,,130-043,,,,00 07 34.5,+29 11 48.2,0.0535,0.0025,18.69,1.89,127,,,,15.66,14.16,13.01,11.54,10.22,9.74,9.46,12.8,,,,0007+2911
1476,N21 And,,,,,,84.2 A,1343,433,,134-001,,,,02 06 54.5,+45 10 56.4,0.0535,0.0052,18.69,0.51,148,,,,11.78,10.29,9.39,8.48,,,,8.93,,,,0206+4510 A
1477,N21 And B,,,,,,84.2 B,,,,,,,,02 06 54.5,+45 10 56.4,0.0535,0.0052,18.69,0.51,148,,,,,,,,,,,,,,,0206+4510 B
1478,N19 Gem,,,,,,3420,1889,1641.01,,,,,,07 00 53.0,+31 57 13.1,0.0535,0.0009,18.69,0.684,151,,,,17.53,16.62,15.7,15.3,15.03,14.67,14.66,15.26,,WD,,0700+3157
1479,N37 Boo,,,,,,1186,2995,3366.02,,136-027,,,,14 53 37.9,+11 33 23.2,0.0535,0.0041,18.69,0.733,175,,,,17.11,15.29,14.4,12.7,10.58,9.97,9.65,13.93,,,,1453+1133
1480,N38 Boo,Ross 1041,,,,,3873,2998,3372.02,,178-055,,,,14 54 26.9,+35 33 13.4,0.0535,0.0108,18.69,0.846,169,,,,13.9,12.35,11.19,9.67,8.24,7.71,7.47,10.99,,,,1454+3533
1481,N45 Her,,,,,,1202,3210,3759.11,,138-037,,,,16 31 33.8,+17 32 58.4,0.0535,0.0029,18.69,0.886,203,,,,14.32,12.76,12,10.1,8.926,8.431,8.178,11.4,,,,1631+1732
1482,N11 Scl,,,,22 G.,,902.1,,5723,116763,,CD-33 16646,222335,,23 39 51.3,-32 44 36.3,0.0535,0.00086,18.69,0.333,156,0.0107,-0.30459,,7.99,7.18,6.73,6.33,5.786,5.332,5.265,5.82,-7.6,K1 V,,2339-3244
1483,N13 Cap,,,,85 G.,,825.4 A,3655,5129.00 A,105312,,CD-26 15541,202940,8148,21 19 45.6,-26 21 10.3,0.05343,0.00108,18.72,0.683,238.4,-0.0433,-0.35767,,7.29 J,6.56 J,6.14 J,5.71 J,,,,5.2,,G5 V,SB 21.35 days in YPC; additional components in; SB1 in Bop70,2119-2621 A
1484,N13 Cap B,,,,,,825.4 B,,5129.00 B,,,,,,21 19 45.6,-26 21 10.3,0.05343,0.00108,18.72,0.683,238.4,-0.0433,-0.35767,,,,,,,,,,,,,2119-2621 B
1485,N13 Cap C,,,,,,825.4 C,,,,,,,,21 19 45.6,-26 21 10.3,0.05343,0.00108,18.72,0.683,238.4,-0.0433,-0.35767,,,,,,,,,,,,spectroscopic companion,2119-2621 C
1486,N13 Per,,,,,,1070,1667,960.01,,039-009,,,,04 22 35.1,+39 00 14.5,0.0534,0.0047,18.73,0.712,136,,,,16.93,15.3,13.94,12.16,10.47,9.94,9.67,13.94,,,,0422+3900
1487,N9 Ind,,,,,,836.9 A,3707,5243.00 A,107522,,CD-58 8156,206804,,21 46 35.8,-57 42 12.2,0.05336,0.00161,18.74,0.91,174.4,0.0111,-0.90546,,,,,,,,,,,K5 V + G/K III,,2146-5742 A
1488,N9 Ind B,,,,,,836.9 B,,,,,,,,21 46 35.8,-57 42 12.2,0.05336,0.00161,18.74,0.91,174.4,0.0111,-0.90546,,,,,,,,,,,K7 V,,2146-5742 B
1489,N6 PsA,,Tau,15,30 G.,,849.1,,5357,109422,,CD-33 15941,210302,8447,22 10 08.8,-32 32 54.3,0.05334,0.00082,18.75,0.429,88.2,0.0339,0.01383,,5.41,4.92,4.65,4.38,3.93,3.639,3.704,3.56,-14.6,F6 V,,2210-3232
1490,N37 Vir,Rijl al Awwa,Mu,107,255 G.,,,,3325,71957,,BD-05 3936,129502,5487,14 43 03.6,-05 39 29.5,0.05333,0.00094,18.75,0.336,162,0.007,-0.3199,,,,,,,,,,,,SB 358 days in YPC,1443-0539 A
1491,N37 Vir B,,,,,,,,,,,,,,14 43 03.6,-05 39 29.5,0.05333,0.00094,18.75,0.336,162,0.007,-0.3199,,,,,,,,,,,,,1443-0539 B
1492,N30 Aqr,,,,,,4294,3850,5512.01,,,,,,22 46 26.3,-06 39 24.0,0.0533,0.0046,18.76,0.866,128,,,,17.81,16,,,,,,14.63,,,,2246-0639
1493,N14 Ser,,,,,,715,,4254,90656,021-017,BD-01 3500,170493,,18 29 52.4,-01 49 05.2,0.05328,0.00104,18.77,0.259,138.4,0.0115,-0.1939,,9.12,8.02,7.41,6.9,6.069,5.643,5.484,6.65,-53.3,K4 V,,1829-0149
1494,N35 Cet,,,,,,36,1154,162,3850,268-053,CD-23 315,4747,,00 49 26.8,-23 12 45.0,0.05318,0.00101,18.8,0.53,77,0.0375,0.11952,,7.95,7.16,6.74,6.34,5.813,5.433,5.305,5.79,5,G8/K0 V,,0049-2312
1495,N11 Pav,,,,119 G.,,818.1 A,3635,5058.00 A,104440,,CD-73 1547,200525,8061,21 09 22.5,-73 10 22.7,0.05303,0.00214,18.86,0.543,121.9,0.1062,-0.28724,,6.26 J,5.67 J,5.32 J,5.00 J,,,,4.29,,F8/G0 V,""" possible component near A; Gl 818.1 """"B""""""",2109-7310 A
1496,N11 Pav B,,,,,,818.1 B,,,,,,,,21 09 22.5,-73 10 22.7,0.05303,0.00214,18.86,0.543,121.9,0.1062,-0.28724,,,,,,,,,,,,,2109-7310 B
1497,N11 Pav C,,,,,,818.1 C,,,,,,,,21 09 22.5,-73 10 22.7,0.05303,0.00214,18.86,0.543,121.9,0.1062,-0.28724,,,,,,,,,,,,,2109-7310 C
1498,N15 Lib,,,,,,583,,3471,75201,152-016,BD-04 3873,,,15 22 04.1,-04 46 38.8,0.05301,0.00154,18.86,0.295,267.5,-0.0197,-0.01283,,10.83,9.49,8.69,7.97,6.987,6.346,6.183,8.11,-14.6,K7 V,,1522-0446
1499,N8 Tel,,,,,,,,,90945,,CD-54 7858,170573,,18 33 05.1,-54 15 47.4,0.053,0.00118,18.87,0.188,221.2,-0.0141,-0.14105,,9.62,8.53,,,6.454,5.896,5.774,7.15,,K4 V(P),,1833-5415
1500,N36 Cet,,,6,15 G.,,10,,24,910,,BD-16 17,693,33,00 11 15.9,-15 28 04.8,0.05297,0.00077,18.88,0.282,197.4,-0.0058,-0.26931,,5.37,4.88,4.58,4.29,4.153,3.8,3.821,3.5,14.4,F5 V,,0011-1528
1501,N34 Oph,,,,,,708.2,3373,4193.2,89517,140-049,BD+13 3578,,,18 16 02.3,+13 54 48.2,0.05297,0.00288,18.88,0.511,168.6,0.0069,-0.50097,,11.64,10.19,9.32,8.43,7.343,6.747,6.557,8.81,11,M0,,1816+1354
1502,N37 Cet,,,,,,3103,1272,,7646,071-024,,,,01 38 29.9,+00 39 05.7,0.05295,0.00292,18.89,0.538,72.5,0.0342,0.16207,,13.1,11.58,10.58,9.39,8.189,7.61,7.324,10.2,,,,0138+0039
1503,N16 Cyg,,,,,,1249 A,,4767.30 A,98921,,BD+38 3896,190771,7683,20 05 09.8,+38 28 42.5,0.05295,0.00055,18.89,0.286,67,0.0224,0.11157,,,,,,,,,,,,,2005+3828 A
1504,N16 Cyg B,,,,,,1249 B,,,,,,,,20 05 09.8,+38 28 42.5,0.05295,0.00055,18.89,0.286,67,0.0224,0.11157,,,,,,,,,,,,,2005+3828 B
1505,N5 Lac,,,,,,,,,111685,189-030,BD+38 4818,,,22 37 29.9,+39 22 51.6,0.05294,0.00194,18.89,0.341,176.4,0.0019,-0.34077,,,,,,,,,,,,,2237+3922 A
1506,N5 Lac B,,,,,,,,,,,,,,22 37 29.9,+39 22 51.6,0.05294,0.00194,18.89,0.341,176.4,0.0019,-0.34077,,,,,,,,,,,,from HIP,2237+3922 B
1507,N14 Aur,,,,,,249,1874,1593.1,32919,107-027,BD+47 1355,49601,,06 51 32.4,+47 22 04.1,0.05282,0.00119,18.93,0.736,199.6,-0.0243,-0.69277,,10.22,8.96,8.23,7.55,6.651,6.048,5.897,7.57,22.2,K6,,0651+4722
1508,N22 And,,,,,,3033,1068,65.12,,130-068,,,,00 24 38.3,+30 02 19.5,0.0528,0.0044,18.94,0.605,90,,,,16.21,14.56,13.23,11.47,9.78,9.22,8.89,13.17,,,,0024+3002
1509,N15 Ser,,Eta,58,34 G. Ser Cau,,711,3381,4215,89962,,BD-02 4599,168723,6869,18 21 18.6,-02 53 55.7,0.05275,0.00073,18.96,0.889,218,-0.0366,-0.70072,,4.2,3.26,2.76,2.3,1.49,1.037,1.05,1.87,8.9,,,1821-0253
1510,N16 Sco,,,,,,646 A,,3853.00 A,83101,,CD-39 10940,153026,,16 58 54.1,-39 33 30.8,0.05267,0.00203,18.99,0.353,50.7,0.0236,0.22314,,9.49 J,8.33 J,7.62 J,6.97 J,,,,6.94,,K3/4 V,,1658-3933 A
1511,N16 Sco B,,,,,,646 B,,3853.00 B,,,,,,16 58 54.1,-39 33 30.8,0.05267,0.00203,18.99,0.353,50.7,0.0236,0.22314,,,,,,,,,,,,,1658-3933 B
1512,N18 Cnc,,,,,,3508,2029,,42267,052-020,,,,08 37 08.0,+15 07 45.6,0.05266,0.01521,18.99,0.901,187.6,-0.0082,-0.89276,,13.24,11.79,10.74,9.43,8.12,7.57,7.32,10.4,,,,0837+1507
1513,N11 Sgr,,,,,,773 A,3502,4713.00 A,98204,,BD-12 5594,188807,,19 57 19.6,-12 34 04.8,0.05262,0.00144,19,0.522,190.4,-0.0065,-0.51289,,10.61,9.27,8.47,7.76,,,,7.88,,K4 V,"CNS91 ""VAR"" not confirmed/refuted",1957-1234 A
1514,N11 Sgr B,,,,,,773 B,3503,4713.00 B,,,,,,19 57 19.6,-12 34 04.8,0.05262,0.00144,19,0.522,190.4,-0.0065,-0.51289,,,15.36,13.88,11.95,,,,13.97,,,,1957-1234 B
1515,N14 Per,Ross 21,,,,,101,155,504,,174-001,,,,02 31 30.6,+57 22 43.5,0.0526,0.0023,19.01,1.042,89,,,,14.73,13.22,12.07,10.59,9.22,8.64,8.42,11.82,,,,0231+5722
1516,N25 Tau,Wolf 219,,,,,151,179,791,,006-030,,,,03 44 34.8,+18 26 05.5,0.0526,0.003,19.01,1.204,159,,,,15.5,15.2,14.8,14,14.59,14.35,14.23,13.8,,WD,,0344+1826
1517,N38 Dra,,,,,,689,,4038,86141,,BD+71 850,160964,,17 36 13.4,+71 52 42.1,0.05256,0.00073,19.03,0.099,111.7,0.0197,-0.03649,,9.66,8.59,,,6.524,6.011,5.888,7.19,-28.4,K8,,1736+7152
1518,N38 Cet,,,,,,100 A,1409,504.10 A,11565,,BD-20 465,15468,,02 29 01.7,-19 58 45.0,0.05253,0.00191,19.04,0.641,73.1,0.0435,0.18656,,9.94 J,8.76 J,8.06 J,7.44 J,,,,7.36,,K4 V,,0229-1958 A
1519,N38 Cet B,,,,,,100 B,,504.10 B,,,,,,02 29 01.7,-19 58 45.0,0.05253,0.00191,19.04,0.641,73.1,0.0435,0.18656,,,,,,,,,,,,,0229-1958 B
1520,N38 Cet C,,,,,,100 C,,504.10 C,,,,,,02 29 01.7,-19 58 45.0,0.05253,0.00191,19.04,0.641,73.1,0.0435,0.18656,,,,,,,,,,,,,0229-1958 C
1521,N35 Oph,Ross 644,,,,,642,3251,3841,82694,139-001,,,,16 54 12.0,+11 54 52.9,0.05251,0.00196,19.04,0.63,300.1,-0.0371,0.31573,,12.17,10.74,9.86,8.95,7.886,7.318,7.106,9.34,-61,,,1654+1154
1522,N26 Peg,,,,,,1273,3857,5524.01,,067-023,,,,22 49 07.7,+22 36 27.1,0.0525,0.0041,19.05,0.506,86,,,,14.55,14.35,13.8,13.8,14.34,14.32,14.36,12.95,,WD,,2249+2236
1523,N20 Gem,,,,,,,,,35389,,BD+18 1563,,,07 18 32.8,+17 53 41.7,0.05247,0.02898,19.06,0.028,293.7,-0.0018,0.01131,,9.83,9.59,,,9.389,9.312,9.294,8.18,,,,0718+1753
1524,N39 Dra,,,,,,,,,76315,,BD+60 1623,139477,,15 35 20.0,+60 05 13.2,0.05243,0.00074,19.07,0.237,133.4,0.023,-0.16288,,9.454,8.393,12.1,7.3,6.46,5.95,5.83,6.99,,,,1535+6005
1525,N12 Sgr,,,,,,741,3428,4421,,,,,,19 03 16.8,-13 34 11.3,0.0524,0.0038,19.08,0.78,226,,,,16.32,14.78,13.63,12.08,10.375,9.803,9.537,13.38,,,,1903-1334
1526,N16 Ser,,,,,,710,,4204,89825,,BD-01 3474,168442,,18 19 50.8,-01 56 19.0,0.05236,0.0014,19.1,0.003,40.2,0.0001,0.00206,,11.02,9.66,8.83,8.07,7.084,6.455,6.28,8.25,-23.3,K5 V,,1819-0156
1527,N46 Her,,,110,,,725.2,,4328,92043,,BD+20 3926,173667,7061,18 45 39.7,+20 32 46.7,0.05235,0.00068,19.1,0.336,181.6,-0.0007,-0.33565,,4.65,4.2,3.9,3.7,3.527,3.286,3.19,2.79,23.6,,,1845+2032
1528,N25 Ori,,,,,,1080,206,1239.02,,099-010,,,,05 28 12.7,+02 57 01.8,0.0523,0.0022,19.12,1.186,198,,,,14.38,12.81,11.7,10.28,8.98,8.5,8.22,11.4,,,,0528+0257
1529,N13 Lyn,,,,,,,1864,1562.01 A,,192-039,,,,06 43 50.9,+51 07 02.5,0.0523,0.0042,19.12,0.922,174,,,,13.96,12.34,11.21,9.77,,,,10.93,,,LHS79 companion not in CNS91,0643+5107 A
1530,N13 Lyn B,,,,,,,,1562.01 B,,,,,,06 43 50.1,+51 08 34.7,0.0523,0.0042,19.12,,,,,,,,,,,,,,,,,0643+5107 B
1531,N6 Lup,,,,,,552.1,,3282,,,,,,14 30 54.3,-54 06 03.0,0.0523,0.015,19.12,0.33,235,,,,13.17,11.66,10.63,9.36,,,,10.25,,,,1430-5406
1532,N38 Vir,,,,,,576,3020,3403,73786,015-005,BD+06 2986,,,15 04 53.5,+05 38 17.2,0.0523,0.00193,19.12,0.791,230.1,-0.0406,-0.50754,,11.14,9.84,9.04,8.27,7.264,6.655,6.468,8.43,-68,,"astrometric companion? in CNS91; LHS79 companion not confirmed/refuted; CNS69 ""VA",1504+0538
1533,N14 Lyn,,,,,,334.2,,,44897,,BD+34 1949,78366,3625,09 08 51.1,+33 52 56.0,0.05225,0.00087,19.14,0.223,238.9,-0.0153,-0.1154,,6.53,5.9,5.6,5.3,4.844,4.601,4.545,4.49,27.2,,,0908+3352
1534,N27 Peg,,,,,,1274,3859,5531.01,112800,189-038,,,,22 50 37.7,+34 51 21.8,0.05217,0.00255,19.17,0.901,69.5,0.0685,0.31516,,13.25,11.72,10.71,9.52,8.28,7.72,7.51,10.31,17.1,,,2250+3451
1535,N17 Pup,,,,,,301 A,1991,1954.00 A,40239,,BD-13 2439,,,08 13 08.5,-13 55 01.4,0.05211,0.00198,19.19,0.545,200.4,-0.013,-0.51107,,,,,,,,,,,M0 V,,0813-1355 A
1536,N17 Pup B,,,,,,301 B,,1954.00 B,,,,,,08 13 08.5,-13 55 01.4,0.05211,0.00198,19.19,0.545,200.4,-0.013,-0.51107,,,,,,,,,,,,,0813-1355 B
1537,N13 Sgr,,,,,,1246,,,98130,,CD-31 17179,188474,,19 56 37.0,-31 20 07.1,0.05211,0.00114,19.19,0.409,85.4,0.0318,0.03298,,9.4,8.3,,,6.534,6.013,5.869,6.88,,K3/4 V,,1956-3120
1538,N15 Per,,,,,,3311,197,1052.01,,,,,,04 46 23.9,+48 44 17.9,0.0521,0.0009,19.19,1.204,123,,,,18.17,17.29,16,13.8,11.56,11.06,10.76,15.87,,,,0446+4844
1539,N28 Peg,,,,,,852.1,,5399,,,,,,22 17 22.9,+15 21 51.8,0.0521,0.0241,19.19,0.226,105,,,,15,13.55,,,,,,12.13,,,,2217+1521
1540,N1 Cha,,,,,,,,,66125,,CPD-76 769,,,13 33 18.7,-77 34 24.6,0.05209,0.03991,19.2,0.37,251.5,-0.1086,-0.11755,,10.23,9.29,,,7.586,7.096,6.984,7.87,,,,1333-7734
1541,N37 Eri,,,,164 G.,,159,,891,18859,,BD-00 632,25457,1249,04 02 36.8,-00 16 08.1,0.05207,0.00074,19.2,0.294,149,0.0101,-0.25203,,5.84,5.34,5.04,4.77,4.712,4.342,4.181,3.92,17.5,F7/8 V,,0402-0016
1542,N16 CVn,,,,,BF,490 A,,2972.01 A,63253,123-075,BD+36 2322,,,12 57 40.3,+35 13 30.0,0.05207,0.00237,19.2,0.317,236.2,-0.0215,-0.1764,,,,,,,,,,,,,1257+3513 A
1543,N16 CVn B,,,,,,490 B,,2972.01 B,,164-031,,,,12 57 40.3,+35 13 30.0,0.05207,0.00237,19.2,0.317,236.2,-0.0215,-0.1764,,,,,,,,,,,,,1257+3513 B
1544,N47 Her,,,,,,627 A,,3745.00 A,80725,138-034,BD+18 3182,148653,,16 28 52.7,+18 24 50.6,0.05204,0.00089,19.22,0.518,318.1,-0.0243,0.38598,,,,,,,,,,,,,1628+1824 A
1545,N47 Her B,,,,,,627 B,,3745.00 B,,,,,,16 28 52.7,+18 24 50.6,0.05204,0.00089,19.22,0.518,318.1,-0.0243,0.38598,,,,,,,,,,,,,1628+1824 B
1546,N21 Gem,,,,,,262,1893,1647,34017,,BD+29 1441,52711,2643,07 03 30.5,+29 20 13.5,0.05202,0.00083,19.22,0.843,169.3,0.0119,-0.82801,,6.53,5.93,5.6,5.3,4.89,4.61,4.54,4.51,21.8,G4 V,,0703+2920
1547,N26 Tau,,,,,,3284,,976.01,,,,,,04 25 49.9,+15 31 01.5,0.052,0.017,19.23,0.135,105,,,,13.83,12.38,,,,,,10.96,,,,0425+1531
1548,N29 Psc,,,,,,900,,5703.1,116384,157-076,BD+00 5017,,,23 35 00.3,+01 36 19.4,0.052,0.00171,19.23,0.344,85.5,0.0229,0.02678,,10.92,9.57,8.73,7.92,6.881,6.28,6.044,8.15,1,,,2335+0136
1549,N9 Tuc,,,,,,1283,,,115123,,CD-61 6802,219764,,23 19 05.4,-60 31 14.4,0.05197,0.00117,19.24,0.104,245.8,-0.0129,-0.04268,,10.12,8.93,,,6.742,6.193,6.035,7.5,,K4 V,,2319-6031
1550,N7 Vul,,,,,V452,4130,,,98505,,BD+22 3887,189733,,20 00 43.7,+22 42 39.1,0.05194,0.00087,19.25,0.251,180.6,-0.0002,-0.25081,,8.609,7.676,7.1,6.7,6.07,5.59,5.54,6.25,-2.7,,,2000+2242
1551,N18 Pup,,Rho,15,253 G.,,,,1930.00 A,39757,,CD-23 6828,67523,3185,08 07 32.7,-24 18 15.6,0.05191,0.00066,19.26,0.095,299.1,-0.0061,0.04638,,,,,,,,,,,,SB 0.14 days in YPC,0807-2418 A
1552,N18 Pup B,,,,,,,,,,,CD-23 6828B,,,08 07 32.7,-24 18 15.6,0.05191,0.00066,19.26,0.095,299.1,-0.0061,0.04638,,,,,,,,,,,,,0807-2418 B
1553,N39 Vir,Wolf 534,,,,,543,368,3252,,124-023,,,,14 19 09.2,-07 18 55.5,0.0519,0.0044,19.27,1.355,236,,,,15.1,13.48,12.39,10.99,9.665,9.233,8.917,12.06,,,,1419-0718
1554,N7 CrB,Ross 806,,,,,,3129,3596.01 A,,180-008,,,,15 53 08.7,+34 44 39.0,0.0519,0.0037,19.27,0.569,152,,,,13.28,11.76,10.68,9.33,,,,10.34,,,,1553+3444 A
1555,N7 CrB B,,,,,,,3130,3596.01 B,,180-009,,,,15 53 06.5,+34 45 28.8,0.0519,0.0037,19.27,,,,,,14.72,13.17,12.01,10.5,,,,11.75,,,,1553+3444 B
1556,N23 And,,,,,,4385,4057,5798.01,,,,,,23 59 50.2,+47 45 09.6,0.0519,0.0009,19.27,0.894,104,,,,17.97,16.09,14,12.5,10.866,10.263,9.93,14.66,,,,2359+4745
1557,N4 Pic,,Bet,,32 G.,,219,,1339,27321,,CD-51 1620,39060,2020,05 47 17.1,-51 03 59.5,0.05189,0.00051,19.27,0.082,3.2,0.0005,0.08196,,4.03,3.86,3.77,3.68,,,,2.44,20,,,0547-5103
1558,N28 Cen,,,1,265 G.,,525.1 A,,3132,67153,,CD-32 9603,119756,5168,13 45 41.3,-33 02 37.4,0.05189,0.00075,19.27,0.484,252.4,-0.0367,-0.14617,,4.60 J,4.22 J,3.99 J,3.78 J,,,,2.8,,F3 V,SB 9.94 days in YPC,1345-3302 A
1559,N28 Cen B,,,,,,525.1 B,,,,,,,,13 45 41.3,-33 02 37.4,0.05189,0.00075,19.27,0.484,252.4,-0.0367,-0.14617,,,,,,,,,,,,,1345-3302 B
1560,N48 Her,Ross 812,,,,,3968,,,81655,,,,,16 40 48.9,+36 19 00.2,0.05188,0.00466,19.28,0.228,322,-0.0116,0.17929,,13.06,11.49,10.4,,8.069,7.416,7.204,10.06,,,,1640+3619
1561,N31 Aqr,,,,,,825.3,5368,5124,105152,025-025,BD-00 4195,202751,,21 18 03.0,+00 09 41.7,0.05182,0.0012,19.3,0.505,111.7,0.0313,-0.18683,,9.15,8.16,7.58,7.09,6.369,5.854,5.739,6.73,-28,K4/5 V,,2118+0009
1562,N24 And,,,,,,1019,120,131.01,,069-016,,,,00 43 33.1,+28 25 40.9,0.0518,0.004,19.31,1.062,187,,,,16.11,14.51,13.33,11.81,10.39,9.88,9.67,13.08,,,,0043+2825
1563,N10 Tuc,,,,,,855,3802,5410,110534,,CD-57 8545,,,22 23 33.3,-57 13 14.3,0.05179,0.00194,19.31,0.697,122.7,0.0722,-0.37612,,12.21,10.72,9.77,8.72,7.6,6.958,6.73,9.29,,M3,,2223-5713
1564,N11 Tuc,,,,,,45,128,193,4473,,CD-62 39,5633,,00 57 19.8,-62 14 44.2,0.05175,0.00106,19.32,1.036,82.9,0.1472,0.12779,,10.78,9.47,8.68,7.98,7.081,6.486,6.284,8.04,11,M0 V,,0057-6214
1565,N26 Ori,,,,182 G.,,231.1 A,,1463.00 A,29860,,BD+05 1168,43587,2251,06 17 16.1,+05 06 00.4,0.05175,0.00078,19.32,0.255,312.1,-0.0127,0.17118,,6.31,5.7,5.36,5.02,,,,4.27,,F9 V,,0617+0506 A
1566,N26 Ori B,,,,,,231.1 B,,1463.00 A,,106-036,,,,06 17 16.1,+05 06 00.4,0.05175,0.00078,19.32,0.255,312.1,-0.0127,0.17118,,,,,,,,,,,M+,,0617+0506 B
1567,N19 Cnc,,,,,,323 A,,2108.01 A,43422,,BD+08 2131,,,08 50 42.2,+07 51 52.4,0.05175,0.00982,19.32,0.146,262,-0.0097,0.02045,,,,,,,,,,,,,0850+0751 A
1568,N19 Cnc B,,,,,,323 B,,2108.01 B,,,,,,08 50 40.0,+07 51 40.7,0.05175,0.00982,19.32,0.072,274,,,,,,,,,,,,,,,0850+0751 B
1569,N50 UMa,,,,,,308.1,2018,2007.01,41689,234-035,,,,08 29 56.3,+61 43 32.7,0.05174,0.00171,19.33,0.892,143.5,0.0747,-0.71692,,11.7,10.33,9.49,8.64,7.607,6.959,6.781,8.9,-51.2,,,0829+6143
1570,N19 Aql,Wolf 865,,,,,775.1,3507,4747,98677,,BD+15 4026,190067,,20 02 34.2,+15 35 31.5,0.05173,0.00083,19.33,0.604,195.4,-0.0111,-0.58207,,7.87,7.16,6.7,6.3,5.764,5.409,5.317,5.72,11.5,,,2002+1535
1571,N7 Ant,,,,,,1126 A,,,46626,,CD-31 7352,82342,,09 30 28.1,-32 06 12.2,0.05171,0.00091,19.34,0.323,348.1,-0.0053,0.31593,,,,,,,,,,,K3/4 V,,0930-3206 A
1572,N7 Ant B,,,,,,1126 B,,,,,,,,09 30 28.1,-32 06 12.2,0.05171,0.00091,19.34,,,,,,,,,,,,,,,,CNS79 companion confirmed via 2 DSS epochs,0930-3206 B
1573,N38 Eri,,,,,,167.2,1651,948.1,,,,,,04 17 13.0,-26 03 38.5,0.0517,0.0127,19.34,0.701,59,,,,13.15,11.76,10.86,9.88,,,,10.33,,,,0417-2603
1574,N17 Cyg,,,,,V2436,816.1 A,,5061.00 A,103859,212-017,BD+45 3371,200560,,21 02 40.8,+45 53 05.1,0.05157,0.00071,19.39,0.427,70.6,0.0385,0.14172,,,,,,,,,,,,,2102+4553 A
